CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Satisfaction Score,Card Type,Point Earned
619,France,Female,42,2,0,1,1,1,101348.88,2,DIAMOND,464
608,Spain,Female,41,1,83807.86,1,0,1,112542.58,3,DIAMOND,456
502,France,Female,42,8,159660.8,3,1,0,113931.57,3,DIAMOND,377
699,France,Female,39,1,0,2,0,0,93826.63,5,GOLD,350
850,Spain,Female,43,2,125510.82,1,1,1,79084.1,5,GOLD,425
645,Spain,Male,44,8,113755.78,2,1,0,149756.71,5,DIAMOND,484
822,France,Male,50,7,0,2,1,1,10062.8,2,SILVER,206
376,Germany,Female,29,4,115046.74,4,1,0,119346.88,2,DIAMOND,282
501,France,Male,44,4,142051.07,2,0,1,74940.5,3,GOLD,251
684,France,Male,27,2,134603.88,1,1,1,71725.73,3,GOLD,342
528,France,Male,31,6,102016.72,2,0,0,80181.12,3,GOLD,264
497,Spain,Male,24,3,0,2,1,0,76390.01,3,GOLD,249
476,France,Female,34,10,0,2,1,0,26260.98,3,SILVER,119
549,France,Female,25,5,0,2,0,0,190857.79,3,PLATINUM,549
635,Spain,Female,35,7,0,2,1,1,65951.65,2,GOLD,318
616,Germany,Male,45,3,143129.41,2,0,1,64327.26,5,GOLD,308
653,Germany,Male,58,1,132602.88,1,1,0,5097.67,2,SILVER,163
549,Spain,Female,24,9,0,2,1,1,14406.41,3,SILVER,544
587,Spain,Male,45,6,0,1,0,0,158684.81,3,PLATINUM,732
726,France,Female,24,6,0,2,1,1,54724.03,4,GOLD,477
732,France,Male,41,8,0,2,1,1,170886.17,3,PLATINUM,568
636,Spain,Female,32,8,0,2,1,0,138555.46,2,DIAMOND,336
510,Spain,Female,38,4,0,1,1,0,118913.53,2,DIAMOND,887
669,France,Male,46,3,0,2,0,1,8487.75,2,SILVER,665
846,France,Female,38,5,0,1,1,1,187616.16,3,PLATINUM,225
577,France,Male,25,3,0,2,0,1,124508.29,3,PLATINUM,659
756,Germany,Male,36,2,136815.64,1,1,1,170041.95,5,DIAMOND,236
571,France,Male,44,9,0,2,0,0,38433.35,4,PLATINUM,448
574,Germany,Female,43,3,141349.43,1,1,1,100187.43,5,DIAMOND,499
411,France,Male,29,0,59697.17,2,1,1,53483.21,2,GOLD,343
591,Spain,Female,39,3,0,3,1,0,140469.38,3,DIAMOND,298
533,France,Male,36,7,85311.7,1,0,1,156731.91,5,SILVER,628
553,Germany,Male,41,9,110112.54,2,0,0,81898.81,3,GOLD,611
520,Spain,Female,42,6,0,2,1,1,34410.55,2,SILVER,922
722,Spain,Female,29,9,0,2,1,1,142033.07,5,PLATINUM,276
475,France,Female,45,0,134264.04,1,1,0,27822.99,1,DIAMOND,877
490,Spain,Male,31,3,145260.23,1,0,1,114066.77,4,SILVER,471
804,Spain,Male,33,7,76548.6,1,0,1,98453.45,2,GOLD,994
850,France,Male,36,7,0,1,1,1,40812.9,3,GOLD,944
582,Germany,Male,41,6,70349.48,2,0,1,178074.04,5,GOLD,419
472,Spain,Male,40,4,0,1,1,0,70154.22,4,DIAMOND,545
465,France,Female,51,8,122522.32,1,0,0,181297.65,5,SILVER,828
556,France,Female,61,2,117419.35,1,1,1,94153.83,3,PLATINUM,789
834,France,Female,49,2,131394.56,1,0,0,194365.76,2,GOLD,567
660,Spain,Female,61,5,155931.11,1,1,1,158338.39,1,PLATINUM,884
776,Germany,Female,32,4,109421.13,2,1,1,126517.46,1,SILVER,296
829,Germany,Female,27,9,112045.67,1,1,1,119708.21,3,DIAMOND,779
637,Germany,Female,39,9,137843.8,1,1,1,117622.8,1,SILVER,730
550,Germany,Male,38,2,103391.38,1,0,1,90878.13,3,DIAMOND,960
776,Germany,Female,37,2,103769.22,2,1,0,194099.12,1,SILVER,268
698,Germany,Male,44,10,116363.37,2,1,0,198059.16,4,SILVER,829
585,Germany,Male,36,5,146050.97,2,0,0,86424.57,3,SILVER,665
788,France,Female,33,5,0,2,0,0,116978.19,3,GOLD,982
655,Germany,Male,41,8,125561.97,1,0,0,164040.94,3,SILVER,343
601,Germany,Male,42,1,98495.72,1,1,0,40014.76,2,DIAMOND,225
619,France,Male,43,1,125211.92,1,1,1,113410.49,5,SILVER,657
656,France,Male,45,5,127864.4,1,1,0,87107.57,2,PLATINUM,221
725,Germany,Male,19,0,75888.2,1,0,0,45613.75,2,PLATINUM,406
511,Spain,Female,66,4,0,1,1,0,1643.11,5,SILVER,549
